                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3681,                 1.6625,                 2.7565,                0.72555,                0.63849,                0.75648,                0.37854,                 3.7314,                 2.1994,                  3.868,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.3611,                  1.613,                 2.7475,                0.78959,                 0.6981,                0.80826,                0.44021,                 3.4204,                 2.3906,                  3.498,               0.001307,               0.001307,               0.001307
                     37,                 2.3319,                 1.6173,                 2.7298,                0.75265,                0.69065,                0.77522,                0.42439,                 3.3728,                 2.3553,                 3.5379,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.3001,                 1.5775,                 2.7149,                0.74035,                0.71629,                0.79815,                0.44877,                 3.1786,                 2.1795,                 3.5271,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.2871,                 1.5642,                 2.6981,                0.72249,                0.66998,                0.76348,                0.40405,                 3.5192,                 2.7126,                 3.6445,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.2944,                 1.5728,                 2.7055,                0.75756,                0.71629,                0.80656,                0.47226,                 2.9538,                 2.0642,                  3.241,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.2983,                 1.5653,                 2.7091,                0.78698,                0.72116,                0.81303,                0.43947,                 3.3601,                 2.0047,                 3.5249,               0.001208,               0.001208,               0.001208
                     42,                 2.2661,                 1.5367,                 2.7086,                0.87417,                0.77419,                0.86517,                0.46501,                 3.3573,                 1.8225,                 3.5731,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.2489,                 1.5331,                 2.6669,                0.71895,                0.59879,                0.69306,                0.38754,                 3.2088,                 2.7962,                 3.4968,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.2543,                 1.5009,                 2.6744,                0.67713,                0.56202,                0.68739,                0.36962,                   3.48,                 3.0965,                 3.6186,              0.0011486,              0.0011486,              0.0011486
                     45,                  2.241,                 1.5139,                 2.6605,                0.77203,                0.73669,                0.82234,                0.46553,                 3.2519,                 2.0309,                 3.5157,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.2251,                 1.4778,                 2.6467,                0.77864,                0.71133,                0.79023,                0.42551,                 3.2931,                  2.254,                 3.5206,               0.001109,               0.001109,               0.001109
                     47,                 2.1688,                 1.4544,                 2.6391,                0.81465,                 0.7196,                 0.8277,                0.43035,                 3.4973,                 2.1338,                 3.6129,              0.0010892,              0.0010892,              0.0010892
